sn,q01,q02,q03,q04,q05,q06,q07,q08,q09,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,q23
27,3,2,1,3,4,4,3,4,2,4,4,3,4,3,5,5,3,5,2,3,4,2,2
28,1,2,4,1,1,5,2,1,4,4,1,2,2,4,2,2,2,3,2,2,2,2,2
29,2,2,3,3,2,2,4,2,2,2,2,3,2,2,2,3,2,2,2,4,3,2,3
30,2,1,4,2,2,2,1,2,1,1,1,2,2,2,2,2,1,2,3,2,2,1,5
31,2,2,1,1,2,1,2,1,4,2,1,4,2,2,2,2,1,1,2,4,3,3,4
32,1,3,3,2,2,2,3,2,2,2,2,4,3,3,3,2,2,2,3,3,3,4,5
33,2,3,4,2,2,2,4,2,4,2,2,3,2,2,2,2,2,3,4,3,3,4,4
34,3,3,2,3,3,2,3,2,4,2,2,3,2,3,3,4,3,3,2,3,4,4,4
35,2,1,2,4,3,4,4,3,2,4,4,4,3,3,4,3,3,4,1,4,4,4,3
36,2,1,1,3,4,5,4,4,4,4,5,3,4,4,4,3,5,4,2,5,3,4,4
37,3,2,4,2,2,3,2,2,2,2,2,2,2,2,2,3,3,1,1,2,3,2,4
38,1,1,3,2,2,1,1,3,4,2,1,2,1,3,4,2,2,1,4,1,2,3,4
39,2,2,3,4,2,1,2,2,4,2,2,4,2,3,3,3,3,3,2,5,4,2,3
40,1,1,5,2,2,4,4,1,2,2,2,3,2,4,3,1,1,3,1,2,2,2,2
41,2,3,1,2,3,3,4,5,5,5,3,3,3,3,3,3,3,3,2,3,3,3,5
42,3,2,1,4,3,2,4,5,4,2,3,3,4,3,3,3,4,3,1,4,4,3,4
43,2,2,3,2,1,1,2,2,4,2,3,2,2,2,2,2,2,2,3,2,2,3,4
44,1,1,3,2,2,2,2,1,1,2,1,2,2,2,3,2,1,1,3,3,1,1,3
45,3,2,3,3,4,2,3,3,3,2,3,3,2,3,3,4,3,2,2,4,3,3,2
46,2,1,1,3,2,3,3,2,3,2,2,4,2,3,3,2,2,3,1,4,3,2,1
47,3,3,2,4,3,2,4,4,4,4,4,4,2,3,4,4,4,3,5,2,3,3,5
48,2,2,3,2,2,1,2,2,3,2,2,3,2,2,2,3,2,3,4,3,3,3,4
49,2,1,2,2,3,2,2,2,3,2,2,3,2,3,3,3,2,3,3,4,4,4,4
50,2,1,3,3,2,3,3,3,4,2,2,4,3,3,2,2,2,3,1,4,3,2,4
51,1,2,3,3,2,1,1,2,2,1,2,3,3,3,3,3,3,1,2,3,3,3,3
52,2,2,3,2,2,1,1,2,4,2,2,2,2,2,1,2,2,1,3,2,2,3,3
53,2,1,3,3,1,2,4,1,1,2,2,2,2,2,2,2,2,2,2,4,2,3,4
54,3,1,1,2,3,1,1,2,1,2,2,4,1,2,2,1,2,4,2,4,4,4,3
55,3,1,3,2,3,1,2,2,1,2,2,3,2,3,4,4,2,3,1,5,2,3,4
56,4,2,1,4,5,4,3,2,2,5,2,4,3,3,4,4,2,4,3,5,5,3,3
57,3,2,3,2,4,1,3,5,4,2,5,2,4,3,2,2,4,3,4,2,3,3,3
58,2,4,4,2,4,1,1,1,4,2,2,3,2,2,3,2,2,1,4,2,2,4,3
59,1,1,2,2,4,2,3,2,2,2,2,3,2,3,3,3,2,1,3,5,4,3,4
60,2,2,3,2,2,2,2,2,2,3,2,3,2,4,4,3,2,2,3,4,3,3,3
61,2,2,4,4,4,2,4,1,5,2,1,4,3,2,3,3,2,3,3,4,4,4,4
62,2,1,2,3,2,2,4,2,1,2,4,4,2,4,4,4,2,4,1,5,4,2,4
63,2,1,2,2,2,2,3,2,3,2,2,4,3,4,2,2,2,3,2,2,2,3,4
64,2,2,4,3,3,2,3,2,5,2,2,3,2,3,3,2,2,3,3,3,3,2,4
65,2,2,4,2,3,1,1,2,4,2,2,2,2,5,2,3,2,1,3,2,2,4,4
66,2,1,3,3,3,4,5,2,1,3,2,4,3,4,5,3,3,1,3,5,5,2,3
67,5,1,1,5,5,1,5,5,3,1,5,5,4,5,3,5,5,3,1,5,5,4,3
68,3,1,1,3,4,3,3,3,2,5,3,4,3,5,2,4,3,3,1,2,3,3,2
69,3,1,2,2,3,3,3,2,2,2,2,3,2,3,2,3,2,3,4,4,3,3,2
70,3,1,1,4,3,2,4,4,1,2,4,3,2,3,4,4,2,3,1,4,4,3,4
71,1,2,2,2,2,2,2,2,4,2,1,2,1,2,2,2,2,2,4,2,2,4,4
72,3,2,3,4,4,3,4,3,3,4,3,3,2,3,4,4,2,2,2,4,4,2,4
73,2,2,3,3,4,2,3,2,4,4,2,3,2,3,2,3,2,2,2,4,3,3,3
74,2,3,3,2,1,1,1,2,4,2,3,2,2,2,2,3,3,1,4,3,3,2,3
75,2,4,4,3,2,2,3,2,4,2,2,3,4,4,3,2,2,3,3,2,3,4,4
76,1,1,2,3,1,1,1,3,2,2,3,2,2,2,2,3,3,1,4,4,3,2,2
77,3,2,3,3,4,4,3,2,2,4,2,3,2,4,4,3,2,3,2,4,3,3,4
78,3,1,3,3,2,2,3,2,1,1,2,3,1,5,3,3,3,3,3,4,4,3,3
79,2,1,3,2,3,1,3,3,5,1,3,1,1,1,1,3,3,1,1,4,4,3,4
80,2,1,3,2,2,2,2,2,3,3,2,3,3,2,2,3,2,2,4,3,3,1,3
81,3,3,4,2,2,1,2,1,5,2,1,2,2,3,3,4,2,2,2,4,2,4,4
82,3,1,2,4,3,5,5,5,1,3,3,4,2,3,4,4,4,3,3,5,5,3,5
83,3,1,4,3,4,2,2,2,3,2,2,3,3,3,4,3,2,3,3,3,4,1,4
84,2,1,5,5,1,1,5,5,5,1,5,5,1,1,4,4,1,4,1,5,5,5,5
85,3,2,1,3,3,1,3,1,4,1,1,1,1,3,1,1,1,1,4,2,3,3,3
86,2,1,3,2,2,2,3,2,4,3,2,3,2,2,2,3,2,2,2,3,3,4,4
87,2,1,3,3,2,1,1,2,1,1,1,2,1,2,1,1,2,1,3,3,3,3,4
88,2,1,3,2,4,2,2,1,5,1,2,5,2,2,2,2,2,3,2,4,2,4,5
89,1,2,5,2,1,2,2,2,2,2,2,3,1,2,2,2,1,1,2,4,3,4,5
90,2,1,3,3,2,2,3,2,1,1,2,4,3,4,2,2,3,2,1,4,4,2,2
91,3,1,3,1,4,3,4,1,4,4,2,2,2,3,1,4,2,3,1,4,3,4,4
92,3,4,5,1,2,1,2,1,4,3,2,2,3,2,2,3,3,2,4,2,3,2,2
93,3,2,3,4,2,2,3,3,5,2,2,3,3,3,2,3,2,2,3,4,3,4,5
94,3,2,5,5,5,2,5,3,3,3,3,5,5,5,3,5,5,5,3,3,3,3,3
95,4,1,4,3,4,1,3,2,4,2,3,2,3,3,2,5,3,3,1,2,3,3,4
96,2,1,4,3,2,2,2,2,2,1,1,3,3,2,4,2,2,2,1,2,2,2,2
97,2,1,1,2,2,3,3,2,1,1,2,4,3,3,5,3,3,3,1,5,3,1,3
98,2,2,4,3,2,3,4,2,3,3,2,2,3,3,3,2,2,3,2,2,2,3,4
99,2,2,4,2,2,2,2,2,3,2,2,2,2,1,1,1,2,1,4,2,2,2,1
100,2,1,4,2,2,2,2,2,4,2,2,3,2,4,2,2,2,2,4,3,2,4,4
101,2,2,2,3,3,1,2,2,3,2,2,2,2,2,2,2,2,2,4,2,2,4,4
102,2,2,3,3,2,2,3,2,3,4,2,3,2,2,3,2,3,2,1,4,3,3,4
103,2,2,4,2,2,1,2,2,3,2,2,3,2,2,2,2,2,2,3,3,2,4,4
104,2,3,4,2,2,1,2,2,4,2,1,2,2,2,2,2,2,1,3,3,2,4,4
105,1,2,3,2,4,1,2,2,3,4,2,4,2,3,3,1,2,2,3,4,3,1,4
106,3,1,1,4,4,5,4,3,1,4,5,4,4,3,3,4,4,4,1,3,4,2,5
107,2,2,4,4,4,5,5,1,3,3,3,4,4,3,4,1,2,4,1,5,5,2,5
108,3,1,3,3,5,3,4,3,3,2,3,3,3,3,2,3,2,3,2,4,4,3,4
109,1,1,3,1,1,1,3,1,3,2,2,3,4,2,1,3,2,2,1,3,3,1,4
110,2,2,3,3,2,5,4,4,2,4,4,3,4,4,2,2,4,4,2,4,4,5,5
111,3,1,1,4,4,5,5,4,2,4,4,4,3,2,4,5,3,4,2,4,3,3,5
112,3,2,2,4,4,3,3,2,4,4,2,4,3,4,5,4,3,4,2,4,4,2,3
113,3,1,2,3,3,2,2,2,4,3,2,3,2,3,2,3,2,2,3,2,2,4,4
114,2,1,2,3,2,2,2,2,3,2,3,3,3,2,4,4,3,2,1,4,3,4,4
115,2,1,3,2,2,1,2,2,3,1,3,3,1,3,3,2,2,1,3,5,2,5,4
116,2,1,2,4,5,1,5,3,1,1,2,4,2,3,5,4,2,1,1,5,3,1,4
117,2,1,3,1,3,4,4,2,4,3,3,4,3,4,3,3,3,3,3,3,4,3,4
118,1,1,2,2,2,3,4,1,1,1,2,3,1,2,3,2,1,3,1,5,4,4,5
119,2,1,1,3,1,5,4,2,1,1,3,2,3,5,4,3,3,2,1,4,4,1,5
120,2,2,3,2,2,2,2,2,3,4,2,2,2,4,2,2,2,1,3,3,2,3,5
121,2,2,3,2,2,3,2,2,3,2,2,3,2,2,3,2,3,3,3,3,3,2,4
122,2,4,2,4,4,2,2,2,4,2,2,4,3,2,2,4,2,4,1,5,4,4,4
123,2,2,4,2,3,3,2,2,4,2,2,2,2,3,2,2,2,2,4,4,3,3,3
124,3,1,3,2,3,2,3,1,1,2,2,3,3,3,3,3,2,2,2,3,2,3,4
125,3,1,1,3,3,2,4,2,1,3,4,4,5,5,3,4,3,5,1,5,4,1,3
126,3,2,1,3,4,2,4,2,4,3,2,5,2,5,3,4,2,4,1,3,4,3,3
127,3,1,4,3,3,2,2,2,3,3,2,3,2,2,2,3,3,2,2,4,3,4,4
128,2,1,3,2,2,2,2,2,4,4,2,2,2,2,4,3,2,2,2,4,4,2,4
129,2,2,4,2,3,1,1,2,4,2,2,2,1,2,2,2,2,2,1,3,2,5,5
130,2,1,3,2,3,2,1,2,4,2,2,3,3,2,2,3,2,2,4,3,3,2,3
131,2,3,4,2,3,2,2,2,4,3,2,2,2,2,2,2,2,3,3,3,2,4,4
132,1,2,2,2,2,1,3,2,1,2,2,3,2,2,1,2,2,1,2,4,3,2,5
133,3,2,2,3,3,2,3,3,4,2,3,3,2,3,3,2,3,2,1,4,4,3,3
134,1,1,3,2,2,2,3,2,3,2,3,3,2,3,2,2,2,2,2,4,3,4,3
135,2,2,1,2,2,2,3,2,3,2,2,3,2,2,2,3,2,2,2,5,3,3,1
136,2,1,3,3,2,2,3,2,1,2,3,4,4,3,4,2,4,3,2,4,3,1,2
137,1,4,3,2,2,2,3,1,3,2,1,2,2,2,2,2,2,2,2,2,2,4,4
138,1,2,3,2,3,1,4,2,4,2,2,5,1,2,2,2,2,2,2,3,3,4,4
139,2,2,4,3,3,2,2,2,3,2,2,3,2,2,2,3,3,2,4,3,3,3,4
140,1,2,2,3,3,4,3,1,4,3,1,4,3,3,3,3,1,3,2,4,3,2,1
141,2,1,1,4,5,3,5,1,2,4,1,4,1,4,5,5,2,4,1,2,2,2,2
142,2,1,3,2,2,2,4,2,5,2,2,3,3,4,2,2,2,2,2,5,2,2,4
143,2,3,3,2,3,4,3,3,2,3,3,3,3,3,4,3,3,3,2,3,2,3,4
144,2,3,3,3,2,2,3,2,4,3,3,2,2,3,3,3,3,2,3,4,3,4,4
145,4,2,2,3,4,1,2,2,4,2,2,4,2,2,3,4,3,2,1,2,2,4,1
146,2,2,4,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,4,2,2,2,4
147,2,1,3,2,2,2,2,2,1,1,2,3,2,1,2,2,2,2,1,3,2,3,3
148,2,2,3,2,2,1,2,2,3,2,1,2,1,2,2,2,2,1,4,3,2,4,4
149,3,1,3,3,2,3,4,3,1,4,3,4,4,3,4,3,2,3,1,3,4,1,4
150,1,1,2,1,1,3,3,3,3,1,3,1,2,2,3,1,2,2,2,3,2,3,5
151,2,2,3,2,2,2,2,2,4,2,2,2,2,2,3,3,3,3,4,2,2,3,3
152,2,2,4,2,1,1,3,1,5,1,1,3,1,3,1,2,1,1,5,4,3,4,4
153,2,1,3,2,2,1,4,2,3,1,1,4,1,3,5,3,2,3,4,2,2,4,5
154,3,2,3,3,3,2,2,2,3,2,2,3,2,2,3,3,2,2,4,3,3,4,4
155,2,3,4,2,2,3,4,2,4,2,2,2,2,2,3,3,3,2,4,3,3,3,4
156,2,1,3,3,4,2,3,1,3,2,2,3,1,3,3,3,2,2,3,4,3,3,4
157,2,2,5,3,4,1,1,2,3,1,1,4,1,1,1,3,3,2,3,4,3,1,3
158,2,2,2,3,4,3,3,2,2,2,2,3,3,3,2,2,3,2,3,3,4,3,3
159,2,1,4,1,1,1,1,2,3,1,1,1,1,1,1,1,1,2,1,4,3,3,2
160,2,1,5,2,1,1,1,2,3,2,2,5,3,4,3,2,2,1,4,5,4,1,1
161,2,1,3,2,3,3,3,2,4,2,3,3,3,2,3,3,3,3,2,3,3,2,3
162,2,1,2,3,2,2,3,4,2,2,4,3,3,3,4,3,2,3,1,4,3,2,4
163,2,3,2,2,4,3,3,2,3,3,2,3,1,3,2,2,2,1,4,4,2,2,2
164,2,2,4,2,2,2,4,2,4,2,2,2,2,2,2,2,2,3,4,2,3,4,4
165,2,1,3,2,2,2,3,2,2,2,2,3,2,2,2,2,2,2,2,2,2,3,4
166,2,1,2,3,4,4,5,2,3,3,3,3,4,3,4,4,2,3,1,2,3,3,2
167,2,4,4,2,2,2,3,2,4,2,2,3,2,2,3,2,2,2,4,4,3,4,4
168,2,1,2,3,2,2,4,2,2,4,3,4,3,3,2,4,3,3,3,3,4,2,4
169,2,1,1,2,2,2,3,1,2,3,1,3,1,3,3,2,2,3,3,2,3,3,3
170,2,1,3,2,2,2,2,1,2,3,1,3,2,2,2,2,2,2,1,3,2,3,5
171,3,1,1,4,3,5,5,3,5,3,4,4,4,5,5,4,3,5,1,5,5,1,3
172,2,2,4,2,2,2,3,2,4,2,2,2,1,1,2,3,2,1,3,2,2,3,3
173,1,2,3,2,2,3,4,2,1,3,2,2,2,3,3,4,3,2,3,4,4,3,4
174,1,1,1,4,1,2,4,1,1,1,1,2,2,4,4,1,1,4,1,5,2,4,2
175,2,1,1,2,2,2,2,2,1,2,2,2,2,3,3,2,2,2,1,5,4,1,5
176,2,2,2,4,4,2,4,3,2,2,3,3,3,4,3,3,3,4,2,2,2,4,2
177,2,2,2,4,2,1,2,2,5,2,2,2,1,5,3,2,2,1,2,3,3,1,5
178,2,2,2,5,4,5,5,2,1,1,3,4,4,4,5,3,2,4,2,2,2,3,2
179,3,2,1,3,3,1,3,2,4,3,3,4,3,2,3,3,3,4,1,5,4,3,3
180,2,1,4,1,2,1,2,1,2,2,1,2,2,1,1,1,1,1,1,3,2,4,4
181,3,1,1,3,3,1,4,3,3,4,2,5,2,4,4,5,3,3,2,2,5,4,4
182,2,1,3,3,2,2,3,2,2,2,3,2,2,3,5,2,3,3,1,4,4,2,2
183,1,2,4,3,2,1,1,1,2,2,1,2,1,2,3,3,1,3,1,4,1,4,4
184,3,1,3,2,2,1,1,1,2,2,1,3,2,2,2,2,2,3,4,5,3,4,4
185,4,2,2,4,2,3,5,2,3,1,3,3,2,3,3,4,3,3,2,5,4,3,3
186,2,2,4,3,2,2,4,2,1,2,2,4,3,2,4,2,2,2,2,4,4,4,4
187,1,2,3,2,2,2,3,2,3,2,2,2,2,2,3,2,2,1,3,3,3,3,4
188,2,3,4,2,2,2,2,2,4,2,2,3,2,2,3,2,2,2,3,4,2,3,4
189,2,1,2,5,4,3,3,4,1,4,3,3,1,1,2,2,4,2,2,4,4,4,5
190,2,2,2,1,3,2,2,2,2,2,1,3,3,3,1,2,2,3,2,4,3,2,1
191,2,2,3,2,2,2,2,2,4,2,2,3,2,2,2,2,2,2,3,3,3,3,4
192,3,2,4,3,3,1,2,2,4,2,2,3,2,3,2,3,3,3,2,4,2,4,4
193,2,1,3,1,1,3,3,2,1,4,2,3,2,1,1,2,3,3,4,4,3,3,4
194,2,2,4,2,4,2,4,2,2,2,3,4,3,4,2,2,2,2,3,4,3,3,4
195,1,1,3,2,1,1,2,2,1,1,2,2,2,2,2,2,2,1,2,4,2,5,2
196,3,1,3,4,4,5,5,2,5,2,3,5,2,4,1,2,4,1,2,5,4,1,4
197,2,4,3,3,2,2,3,2,2,2,2,3,3,2,3,2,2,3,1,4,2,4,4
198,2,2,2,3,4,4,3,3,3,2,2,3,3,3,4,3,4,3,2,4,3,3,3
199,1,1,4,2,2,2,2,2,3,2,2,3,2,2,2,2,2,2,2,4,2,4,3
200,2,2,4,2,2,1,1,2,2,1,1,2,2,1,1,2,2,2,3,3,2,3,3
201,2,3,4,2,3,1,1,2,3,2,1,3,1,1,2,3,2,1,4,3,2,4,2
202,2,1,3,2,2,1,4,2,3,2,2,2,2,4,2,2,3,2,3,2,1,2,3
203,3,1,2,4,4,4,4,3,4,4,2,4,3,4,5,5,3,4,1,3,4,2,2
204,2,5,5,2,2,1,1,1,5,2,1,2,1,2,2,2,2,2,3,3,2,4,4
205,2,2,4,5,5,5,4,2,3,2,2,3,4,3,4,2,2,3,1,2,5,3,5
206,4,1,1,5,5,3,2,2,1,1,3,4,2,3,2,5,3,2,1,5,2,3,4
207,2,1,4,2,2,1,1,2,5,2,2,3,3,2,2,3,2,1,3,2,2,3,5
208,4,1,2,3,4,4,4,3,1,4,3,4,4,4,3,4,3,3,2,4,4,2,3
209,3,1,2,3,4,2,2,3,4,2,2,3,2,4,2,3,2,3,3,4,3,2,4
210,3,1,2,4,4,3,4,3,3,2,3,4,3,3,4,4,3,3,2,5,5,3,4
211,2,1,2,4,4,2,2,3,1,2,2,3,4,3,4,4,2,2,4,4,3,4,3
212,3,1,1,5,3,2,4,2,1,4,2,4,2,3,2,3,2,3,2,5,4,3,5
213,2,2,2,4,2,2,4,2,4,4,2,4,3,4,3,3,4,4,2,4,4,3,4
214,2,3,4,1,1,1,3,1,3,2,1,2,1,2,3,2,1,1,4,1,2,4,4
215,2,2,3,4,2,2,4,4,2,3,2,2,3,3,2,4,2,2,1,4,4,4,4
216,4,1,1,4,3,5,5,4,2,4,5,5,4,5,5,5,4,5,1,4,4,2,4
217,2,2,3,4,3,2,3,3,4,2,2,2,2,3,2,3,2,3,1,2,2,4,5
218,2,1,2,3,3,5,4,2,1,4,2,5,4,4,4,4,3,3,2,1,4,3,5
219,2,1,3,3,2,2,2,2,4,2,2,3,3,3,2,2,2,1,2,2,3,4,4
220,4,1,2,3,3,3,3,2,3,3,2,2,2,4,3,4,3,3,3,4,2,3,3
221,1,1,2,3,3,3,4,2,2,4,2,4,3,4,5,3,2,4,1,4,3,1,3
222,2,2,2,2,3,2,3,2,3,3,2,3,2,3,2,2,2,2,1,3,4,3,4
223,2,3,3,3,3,2,2,3,2,2,2,3,3,3,3,3,4,3,2,4,4,3,2
224,2,3,3,2,2,2,3,2,4,3,2,3,2,3,2,3,2,3,2,3,3,4,4
225,1,1,4,1,1,1,1,1,4,1,1,1,1,1,1,4,1,1,4,4,1,4,4
226,4,4,3,5,3,3,3,4,2,4,4,3,1,3,5,4,2,2,2,5,4,3,4
227,2,2,3,3,2,3,3,2,4,2,2,3,3,3,3,2,2,3,2,4,2,4,4
228,3,1,2,4,3,3,3,2,2,3,4,4,3,2,2,2,3,3,2,5,4,2,4
229,2,1,3,3,2,2,3,1,4,2,2,3,2,3,3,3,2,2,2,4,3,2,4
230,3,1,3,1,4,1,5,2,5,1,2,3,2,3,1,3,3,4,3,5,3,4,5
231,3,1,3,2,2,1,5,4,3,2,2,4,3,2,2,2,3,3,2,5,4,4,3
232,2,4,5,1,1,1,1,1,5,1,1,2,1,1,1,2,1,1,5,1,1,2,5
233,1,1,4,2,1,1,2,2,1,2,2,4,2,2,5,4,2,2,1,1,2,3,4
234,2,1,3,3,2,2,3,2,3,3,2,3,2,2,2,2,2,3,3,3,2,3,4
235,3,1,1,5,3,1,4,2,1,4,4,1,3,5,2,4,4,2,1,4,4,2,1
236,1,1,3,3,2,3,3,4,3,3,3,3,3,3,3,2,3,3,3,3,3,2,4
237,2,1,4,2,3,2,1,3,4,2,2,2,1,1,2,2,1,2,2,4,3,3,3
238,2,2,3,2,3,3,3,3,3,3,2,2,3,2,3,3,3,3,2,3,3,3,3
239,2,1,2,2,1,1,1,1,1,1,1,2,2,2,1,2,1,1,1,5,4,3,4
240,2,1,3,2,2,2,2,2,3,2,1,3,3,2,3,2,3,2,3,4,3,2,3
241,5,3,1,5,4,2,4,5,4,2,4,3,2,3,4,4,5,3,5,5,5,2,2
242,2,1,1,5,3,4,4,4,1,3,5,3,3,3,5,5,5,3,1,5,3,1,3
243,2,1,2,2,4,1,2,2,1,2,1,2,2,2,1,3,1,2,1,4,4,1,4
244,2,2,3,4,4,2,4,2,3,2,3,3,2,2,3,2,4,3,2,4,4,2,4
245,2,2,4,2,3,2,2,2,4,2,2,2,2,2,2,2,2,2,3,3,2,4,4
246,2,1,2,2,4,2,3,3,4,2,3,3,2,2,3,3,3,2,2,4,3,3,4
247,3,3,4,3,2,2,1,2,2,2,2,4,3,4,3,3,2,3,4,3,3,4,4
248,4,1,1,5,5,1,5,3,1,1,3,5,4,3,2,4,4,3,1,5,5,3,4
249,2,1,3,2,2,2,3,2,2,2,2,3,2,3,3,2,2,2,2,5,4,2,3
250,2,1,4,3,2,1,2,1,5,1,1,1,1,2,2,3,2,1,4,3,2,5,5
251,3,1,1,3,3,2,4,3,1,2,4,3,3,4,4,5,5,2,2,3,5,3,2
252,2,1,2,3,3,4,5,2,5,1,2,5,3,3,3,4,4,5,1,4,4,3,3
253,2,2,4,2,3,4,2,2,3,4,2,4,2,3,2,2,2,3,2,2,2,2,3
254,2,2,4,2,2,2,3,2,4,2,2,2,2,2,2,2,2,2,3,3,3,3,4
255,1,1,4,3,4,1,2,2,2,2,1,3,2,2,3,3,2,1,3,3,2,3,4
256,2,1,3,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,3,2,2,4,4
257,2,4,3,1,1,1,1,1,5,1,1,1,1,1,3,2,2,1,4,2,2,4,5
258,2,2,3,2,3,2,2,3,4,3,2,3,2,2,2,3,3,2,3,2,2,4,3
259,1,3,4,2,2,2,2,2,2,2,2,2,2,3,2,2,2,1,1,3,2,3,5
260,3,1,1,4,4,3,5,5,1,4,4,4,2,4,5,5,3,4,1,4,4,1,4
261,2,3,3,3,2,3,2,2,4,2,2,3,2,3,3,2,2,2,2,5,4,4,4
262,2,1,3,2,1,2,2,1,3,2,1,1,1,2,3,1,3,2,3,3,2,4,3
263,5,2,2,4,4,5,5,1,1,4,1,5,3,5,3,4,1,5,2,4,4,3,4
264,1,1,3,3,2,1,2,1,2,1,1,3,2,2,3,2,2,2,2,3,2,4,4
265,2,1,3,2,2,2,3,2,3,3,2,2,2,2,2,2,2,2,2,4,4,3,2
266,2,2,3,2,2,2,2,2,3,2,2,3,2,2,2,2,2,2,3,4,2,2,4
267,3,1,3,3,2,1,1,2,3,2,2,2,2,2,2,3,3,2,3,3,3,3,4
268,2,2,1,3,5,1,3,3,5,2,2,3,2,4,5,5,3,3,2,4,5,3,3
269,2,2,1,2,2,5,4,3,2,3,2,4,4,4,2,3,3,5,3,4,4,3,3
270,2,2,3,3,2,4,4,2,2,2,2,3,2,3,4,4,2,2,2,2,3,2,4
271,3,1,4,3,3,1,2,2,3,2,2,2,3,3,4,4,2,3,1,3,3,3,3
272,2,2,3,3,4,2,2,4,1,4,4,4,3,3,4,4,4,3,4,5,4,2,4
273,2,1,3,2,2,2,2,3,2,2,3,3,2,3,3,3,3,3,1,4,3,3,3
274,3,1,2,4,2,2,3,3,2,4,2,4,3,2,2,3,3,3,2,1,2,2,4
275,3,2,3,3,2,1,1,1,4,1,1,3,2,3,2,3,1,1,2,4,3,4,3
276,2,1,2,2,2,2,2,1,2,3,2,3,2,2,2,3,2,3,2,3,2,2,4
277,4,1,1,5,5,4,4,2,1,4,4,5,5,3,3,5,5,5,2,5,5,3,3
278,3,1,1,3,3,1,4,1,1,1,1,5,4,2,4,3,1,4,2,5,5,5,4
279,3,2,4,3,4,2,2,2,4,2,2,3,1,2,1,2,2,3,2,3,2,5,5
280,3,1,1,3,2,4,4,3,2,3,4,4,3,3,4,3,3,3,4,4,3,4,3
281,2,1,4,2,2,4,4,2,4,2,2,4,2,2,2,2,2,4,4,4,4,4,4
282,2,1,2,4,4,3,3,2,1,2,3,3,3,3,3,3,3,2,4,3,4,3,4
283,3,1,3,4,4,2,2,2,4,2,2,4,3,4,4,3,2,3,1,4,4,3,5
284,3,2,2,4,2,2,4,2,5,3,3,3,2,4,4,3,3,3,3,4,4,3,5
285,5,2,1,5,4,5,5,3,5,1,1,5,1,1,3,2,5,3,3,5,5,1,2
286,3,2,4,3,2,2,3,2,4,2,3,3,1,3,2,2,2,3,1,3,4,3,1
287,2,1,3,2,2,2,2,2,4,2,2,4,2,3,2,4,2,3,3,1,4,2,2
288,1,2,4,2,2,1,1,2,3,2,2,2,2,2,2,2,2,2,4,3,3,3,4
