schcode,Rid,id,female,ses,femses,math,ses_mean,pro4yrc,public
4,11,6809,1,0.867,0.867,73.09,0.815941176,1,0
4,12,6810,1,0.722,0.722,71.14,0.815941176,1,0
4,13,6811,1,0.557,0.557,62.7079,0.815941176,1,0
4,14,6812,1,0.447,0.447,62.7079,0.815941176,1,0
4,15,6813,1,1.117,1.117,62.7079,0.815941176,1,0
4,16,6814,1,1.464,1.464,62.7079,0.815941176,1,0
4,17,6815,1,0.742,0.742,71.6,0.815941176,1,0
5,1,4567,1,-1.499,-1.499,50.64,-0.389294118,1,0
5,2,4568,0,0.579,0,62.2767,-0.389294118,1,0
5,3,4569,1,-0.319,-0.319,51.33,-0.389294118,1,0
5,4,4570,1,-0.172,-0.172,45.84,-0.389294118,1,0
5,5,4571,1,-0.12,-0.12,49.97,-0.389294118,1,0
5,6,4572,0,-0.025,0,60.34,-0.389294118,1,0
5,7,4573,0,-0.313,0,45.71,-0.389294118,1,0
5,8,4574,0,-0.479,0,39.86,-0.389294118,1,0
5,9,4575,0,0.518,0,59.63,-0.389294118,1,0
5,10,4576,1,-0.794,-0.794,35.09,-0.389294118,1,0
5,11,4577,1,-0.8,-0.8,37.13,-0.389294118,1,0
5,12,4578,1,-0.118,-0.118,40.09,-0.389294118,1,0
5,13,4579,1,-0.614,-0.614,48.24,-0.389294118,1,0
5,14,4580,0,-0.93,0,50.41,-0.389294118,1,0
5,15,4581,0,-0.449,0,53.73,-0.389294118,1,0
5,16,4582,0,-0.397,0,34.86,-0.389294118,1,0
5,17,4583,0,-0.686,0,52.71,-0.389294118,1,0
6,1,89,1,-1.434,-1.434,60.5769,0.2531875,1,0
6,2,318,0,-0.122,0,58.96,0.2531875,1,0
6,3,319,1,0.064,0.064,60.5822,0.2531875,1,0
6,4,320,1,1.154,1.154,67.07,0.2531875,1,0
6,5,321,1,0.385,0.385,68.1,0.2531875,1,0
6,6,322,1,0.132,0.132,69.18,0.2531875,1,0
6,7,323,0,1.286,0,60.5822,0.2531875,1,0
6,8,324,1,-0.363,-0.363,72.59,0.2531875,1,0
6,9,325,0,1.542,0,60.5822,0.2531875,1,0
6,10,326,0,0.287,0,60.5822,0.2531875,1,0
6,11,327,1,-0.524,-0.524,60.5822,0.2531875,1,0
6,12,328,0,0.492,0,60.5822,0.2531875,1,0
6,13,329,0,0.352,0,60.5822,0.2531875,1,0
6,14,330,1,-0.043,-0.043,60.5822,0.2531875,1,0
6,15,352,0,-0.12,0,48.93,0.2531875,1,0
6,16,412,0,0.963,0,46.44,0.2531875,1,0
7,1,898,1,1.036,1.036,60.5936,0.1745625,1,1
7,2,899,0,0.249,0,65.26,0.1745625,1,1
7,3,900,0,1.361,0,58.76,0.1745625,1,1
7,4,901,0,0.11,0,58.51,0.1745625,1,1
7,5,902,0,-1.026,0,59.53,0.1745625,1,1
7,6,903,1,0.128,0.128,69.58,0.1745625,1,1
7,7,904,1,-0.489,-0.489,39.32,0.1745625,1,1
7,8,905,0,-0.979,0,60.5936,0.1745625,1,1
7,9,906,1,0.909,0.909,69.44,0.1745625,1,1
7,10,907,0,0.613,0,62.11,0.1745625,1,1
7,11,908,0,0.302,0,71.43,0.1745625,1,1
7,12,909,1,-0.829,-0.829,52.21,0.1745625,1,1
7,13,910,1,1.436,1.436,60.5936,0.1745625,1,1
7,14,911,1,-0.419,-0.419,38.3,0.1745625,1,1
7,15,912,1,-0.668,-0.668,42.53,0.1745625,1,1
7,16,913,0,1.059,0,49.22,0.1745625,1,1
8,1,3419,1,0.745,0.745,51.86,0.604115385,1,1
8,2,3420,1,0.842,0.842,72.55,0.604115385,1,1
8,3,3421,0,1.084,0,70.82,0.604115385,1,1
8,4,3422,0,1.132,0,59.53,0.604115385,1,1
8,5,3423,1,1.231,1.231,70.03,0.604115385,1,1
8,6,3424,1,0.881,0.881,70.83,0.604115385,1,1
8,7,3425,0,0.619,0,58.19,0.604115385,1,1
8,8,3426,0,0.147,0,57.55,0.604115385,1,1
8,9,3427,1,0.82,0.82,64.26,0.604115385,1,1
8,10,3428,0,0.479,0,60.36,0.604115385,1,1
8,11,3429,0,0.024,0,47.49,0.604115385,1,1
8,12,3430,0,-0.134,0,46.96,0.604115385,1,1
8,13,3431,0,1.58,0,66.42,0.604115385,1,1
8,14,3432,1,1.419,1.419,53.23,0.604115385,1,1
8,15,3433,1,0.81,0.81,66.77,0.604115385,1,1
8,16,3434,0,0.349,0,61.6638,0.604115385,1,1
8,17,3435,1,-0.305,-0.305,41.33,0.604115385,1,1
8,18,3436,1,0.087,0.087,54.56,0.604115385,1,1
8,19,3437,0,0.672,0,61.6638,0.604115385,1,1
8,20,3438,1,0,0,61.6638,0.604115385,1,1
8,21,3439,1,1.057,1.057,70.83,0.604115385,1,1
8,22,3440,0,0.747,0,73.7,0.604115385,1,1
8,23,3441,1,0.531,0.531,54.48,0.604115385,1,1
8,24,3442,0,0.303,0,61.6638,0.604115385,1,1
8,25,3443,1,0.607,0.607,78.18,0.604115385,1,1
8,26,3444,0,-0.02,0,61.6638,0.604115385,1,1
9,1,5122,0,-0.485,0,58.24,-0.255058824,0.235294118,1
9,2,5123,1,-1.422,-1.422,63.02,-0.255058824,0.235294118,1
9,3,5124,0,0.032,0,62.3718,-0.255058824,0.235294118,1
9,4,5125,1,-1.19,-1.19,38.76,-0.255058824,0.235294118,1
9,5,5126,1,0.452,0.452,57.97,-0.255058824,0.235294118,1
9,6,5127,1,0.729,0.729,59.16,-0.255058824,0.235294118,1
9,7,5128,1,-0.149,-0.149,50.33,-0.255058824,0.235294118,1
9,8,5129,1,-0.124,-0.124,56.87,-0.255058824,0.235294118,1
9,9,5130,1,-0.521,-0.521,37.07,-0.255058824,0.235294118,1
9,10,5131,1,-0.453,-0.453,52.5,-0.255058824,0.235294118,1
9,11,5132,0,-0.451,0,53.96,-0.255058824,0.235294118,1
9,12,5133,0,-0.666,0,57.96,-0.255058824,0.235294118,1
9,13,5134,1,0.46,0.46,55.17,-0.255058824,0.235294118,1
9,14,5135,1,0.077,0.077,56.35,-0.255058824,0.235294118,1
9,15,5136,0,-1.177,0,49.48,-0.255058824,0.235294118,1
9,16,5137,0,0.241,0,72.94,-0.255058824,0.235294118,1
9,17,5138,1,0.311,0.311,49.74,-0.255058824,0.235294118,1
10,1,4516,0,0.414,0,67.78,0.29875,1,1
10,2,4517,0,0.303,0,65.82,0.29875,1,1
10,3,4518,1,1.36,1.36,74.69,0.29875,1,1
10,4,4519,1,0.355,0.355,62.2759,0.29875,1,1
10,5,4520,1,-0.184,-0.184,61.71,0.29875,1,1
10,6,4521,1,0.36,0.36,56.35,0.29875,1,1
10,7,4522,1,-0.418,-0.418,59.92,0.29875,1,1
10,8,4523,0,0.35,0,62.2759,0.29875,1,1
10,9,4524,0,0.456,0,62.2759,0.29875,1,1
10,10,4525,0,-0.122,0,50.22,0.29875,1,1
10,11,4526,1,0.198,0.198,52.16,0.29875,1,1
10,12,4527,1,0.936,0.936,54.44,0.29875,1,1
10,13,4528,1,0.404,0.404,65.11,0.29875,1,1
10,14,4529,1,0.787,0.787,67.38,0.29875,1,1
10,15,4530,1,-0.216,-0.216,59.61,0.29875,1,1
10,16,4531,1,-0.056,-0.056,66.98,0.29875,1,1
10,17,4532,0,-0.072,0,62.2759,0.29875,1,1
10,18,4533,0,0.54,0,55.71,0.29875,1,1
10,19,4534,0,0.202,0,62.2759,0.29875,1,1
10,20,4986,0,0.378,0,62.3672,0.29875,1,1
11,1,4065,0,0.378,0,70.83,0.202944444,1,1
11,2,4066,0,0.545,0,62.2638,0.202944444,1,1
11,3,4067,1,0.513,0.513,55.11,0.202944444,1,1
11,4,4068,0,-0.074,0,59.15,0.202944444,1,1
11,5,4069,1,0.027,0.027,50.75,0.202944444,1,1
11,6,4070,0,-0.296,0,42.86,0.202944444,1,1
11,7,4071,0,0.585,0,49.24,0.202944444,1,1
11,8,4072,1,-0.49,-0.49,53,0.202944444,1,1
11,9,4073,0,-0.062,0,67.24,0.202944444,1,1
11,10,4074,0,-0.282,0,40.62,0.202944444,1,1
11,11,4075,0,0.339,0,38.42,0.202944444,1,1
11,12,4076,0,0.57,0,62.2639,0.202944444,1,1
11,13,4077,0,1.436,0,68.61,0.202944444,1,1
11,14,4078,1,1.608,1.608,62.2639,0.202944444,1,1
11,15,4079,0,-0.321,0,63.48,0.202944444,1,1
11,16,4080,1,-0.256,-0.256,57.93,0.202944444,1,1
11,17,4081,0,-1.322,0,49.05,0.202944444,1,1
11,18,4082,0,0.755,0,62.2639,0.202944444,1,1
12,1,509,1,0.058,0.058,64.93,0.14525,1,1
12,2,510,1,0.261,0.261,60.5861,0.14525,1,1
12,3,511,1,0.424,0.424,60.5861,0.14525,1,1
12,4,512,1,-0.489,-0.489,52.86,0.14525,1,1
12,5,513,1,1.189,1.189,60.5861,0.14525,1,1
12,6,514,1,-0.859,-0.859,42.34,0.14525,1,1
12,7,515,0,0.47,0,60.5861,0.14525,1,1
12,8,516,0,0.009,0,34.05,0.14525,1,1
12,9,517,0,1.189,0,60.5861,0.14525,1,1
12,10,518,0,-0.521,0,50.53,0.14525,1,1
12,11,519,0,0.099,0,60.5861,0.14525,1,1
12,12,520,1,-0.087,-0.087,51.76,0.14525,1,1
13,1,1720,1,-1.991,-1.991,61.0544,-0.3184375,1,1
13,2,1721,0,1.132,0,61.0544,-0.3184375,1,1
13,3,1722,1,-0.92,-0.92,61.0544,-0.3184375,1,1
13,4,1723,1,-1.545,-1.545,61.0544,-0.3184375,1,1
13,5,1724,0,-0.448,0,61.0544,-0.3184375,1,1
13,6,1725,1,-0.303,-0.303,61.0544,-0.3184375,1,1
13,7,1726,1,-0.85,-0.85,61.0544,-0.3184375,1,1
13,8,1727,1,-1.067,-1.067,61.0544,-0.3184375,1,1
13,9,1728,0,0.449,0,66.45,-0.3184375,1,1
13,10,1729,0,0.997,0,53.17,-0.3184375,1,1
13,11,1730,0,1.211,0,56.54,-0.3184375,1,1
13,12,1731,1,1.306,1.306,61.0544,-0.3184375,1,1
13,13,1732,1,-0.259,-0.259,61.0544,-0.3184375,1,1
13,14,1733,1,-0.468,-0.468,64.67,-0.3184375,1,1
13,15,1734,1,-1.545,-1.545,37.62,-0.3184375,1,1
13,16,1735,1,-0.794,-0.794,47.6,-0.3184375,1,1
14,1,4621,0,-0.525,0,62.2779,-0.435428571,1,1
14,2,4622,1,0.318,0.318,66.88,-0.435428571,1,1
14,3,4623,1,-1.529,-1.529,46.69,-0.435428571,1,1
14,4,4624,1,0.359,0.359,64.18,-0.435428571,1,1
14,5,4625,1,0.154,0.154,60.56,-0.435428571,1,1
14,6,4626,1,0.191,0.191,62.2779,-0.435428571,1,1
14,7,4627,0,-0.644,0,41.23,-0.435428571,1,1
14,8,4628,1,-0.886,-0.886,56.08,-0.435428571,1,1
14,9,4629,0,-0.037,0,58.66,-0.435428571,1,1
14,10,4630,1,-0.284,-0.284,66.45,-0.435428571,1,1
14,11,4631,1,-0.075,-0.075,62.2779,-0.435428571,1,1
14,12,4632,1,-1.154,-1.154,62.2779,-0.435428571,1,1
14,13,4633,0,-0.493,0,38.47,-0.435428571,1,1
14,14,4634,0,-1.491,0,62.2779,-0.435428571,1,1
15,1,6816,0,1.552,0,62.7134,1.0483,1,1
15,2,6817,0,1.338,0,62.7134,1.0483,1,1
15,3,6818,0,-0.719,0,63.45,1.0483,1,1
15,4,6819,1,1.779,1.779,64.1,1.0483,1,1
15,5,6820,0,0.385,0,62.7147,1.0483,1,1
15,6,6821,0,1.734,0,62.7147,1.0483,1,1
15,7,6822,0,0.825,0,62.7147,1.0483,1,1
15,8,6823,0,1.364,0,62.7147,1.0483,1,1
15,9,6824,0,0.269,0,62.7147,1.0483,1,1
15,10,6825,1,1.533,1.533,62.7147,1.0483,1,1
15,11,6826,0,0.037,0,62.7147,1.0483,1,1
15,12,6827,1,0.922,0.922,62.7147,1.0483,1,1
15,13,6828,0,1.379,0,62.7147,1.0483,1,1
15,14,6829,1,1.309,1.309,62.7147,1.0483,1,1
15,15,6830,1,1.264,1.264,65.22,1.0483,1,1
15,16,6831,0,0.673,0,74.84,1.0483,1,1
15,17,6832,1,1.683,1.683,62.19,1.0483,1,1
15,18,6833,1,1.381,1.381,62.7147,1.0483,1,1
15,19,6834,1,1.533,1.533,62.7147,1.0483,1,1
15,20,6835,1,0.725,0.725,62.7149,1.0483,1,1
16,1,613,0,-0.308,0,60.5877,-0.169,0.538461538,0
16,2,614,0,0.666,0,51.95,-0.169,0.538461538,0
16,3,615,1,-0.31,-0.31,36.57,-0.169,0.538461538,0
16,4,616,1,-0.865,-0.865,60.5877,-0.169,0.538461538,0
16,5,617,0,0.162,0,60.5877,-0.169,0.538461538,0
16,6,618,1,0.152,0.152,60.5877,-0.169,0.538461538,0
16,7,619,1,-0.199,-0.199,42.39,-0.169,0.538461538,0
16,8,620,1,0.45,0.45,60.5877,-0.169,0.538461538,0
16,9,621,1,0.312,0.312,55.17,-0.169,0.538461538,0
16,10,622,0,-0.285,0,60.5878,-0.169,0.538461538,0
16,11,623,1,-1.235,-1.235,60.5878,-0.169,0.538461538,0
16,12,624,0,-0.792,0,58.29,-0.169,0.538461538,0
16,13,625,1,0.055,0.055,50.71,-0.169,0.538461538,0
17,1,6605,1,0.106,0.106,62.5487,-0.200789474,1,0
17,2,6606,1,-0.979,-0.979,45.29,-0.200789474,1,0
17,3,6607,0,-0.627,0,34.91,-0.200789474,1,0
17,4,6608,0,0.7,0,62.5487,-0.200789474,1,0
17,5,6609,1,-0.796,-0.796,50.65,-0.200789474,1,0
17,6,6610,0,-0.506,0,62.5487,-0.200789474,1,0
17,7,6611,1,-0.847,-0.847,47.34,-0.200789474,1,0
17,8,6612,1,-0.145,-0.145,59.59,-0.200789474,1,0
17,9,6613,1,-0.883,-0.883,44.71,-0.200789474,1,0
17,10,6614,1,-0.676,-0.676,51.2,-0.200789474,1,0
17,11,6615,0,0.705,0,58.16,-0.200789474,1,0
17,12,6616,1,0.232,0.232,47.82,-0.200789474,1,0
17,13,6617,0,0.712,0,62.5487,-0.200789474,1,0
17,14,6618,0,-0.036,0,53.81,-0.200789474,1,0
17,15,6619,0,-0.676,0,49.59,-0.200789474,1,0
17,16,6620,0,0.038,0,55.57,-0.200789474,1,0
17,17,6621,1,-1.463,-1.463,56.65,-0.200789474,1,0
17,18,6622,0,0.498,0,65.44,-0.200789474,1,0
17,19,6623,1,0.828,0.828,62.5487,-0.200789474,1,0
18,1,5715,1,0.99,0.99,62.3885,0.6512,1,0
18,2,5716,1,0.96,0.96,62.3885,0.6512,1,0
18,3,5717,0,1.085,0,62.3885,0.6512,1,0
18,4,5718,1,-0.109,-0.109,44.69,0.6512,1,0
18,5,5719,1,0.81,0.81,69.78,0.6512,1,0
18,6,5720,0,0.564,0,64.86,0.6512,1,0
18,7,5721,0,-0.095,0,62.3885,0.6512,1,0
18,8,5722,1,1.159,1.159,58.35,0.6512,1,0
18,9,5723,1,0.177,0.177,59.1,0.6512,1,0
18,10,5724,0,0.697,0,73.52,0.6512,1,0
18,11,5725,1,0.337,0.337,62.3885,0.6512,1,0
18,12,5726,0,-0.455,0,62.3885,0.6512,1,0
18,13,5727,1,1.06,1.06,62.3885,0.6512,1,0
18,14,5728,0,1.456,0,69.89,0.6512,1,0
18,15,5729,1,1.132,1.132,55.27,0.6512,1,0
19,1,1916,0,-0.725,0,62.89,-1.296733333,1,0
19,2,1970,0,-1.217,0,61.0731,-1.296733333,1,0
19,3,1971,1,-1.054,-1.054,49.08,-1.296733333,1,0
19,4,1972,0,-1.866,0,61.0731,-1.296733333,1,0
19,5,1973,0,-1.249,0,48.36,-1.296733333,1,0
19,6,1974,1,-1.671,-1.671,61.0731,-1.296733333,1,0
19,7,1975,1,-2.137,-2.137,61.0731,-1.296733333,1,0
19,8,1976,1,0.835,0.835,50.44,-1.296733333,1,0
19,9,1977,1,-1.321,-1.321,61.0731,-1.296733333,1,0
19,10,1978,1,-1.507,-1.507,62.26,-1.296733333,1,0
19,11,1979,0,-1.581,0,45.88,-1.296733333,1,0
19,12,1980,0,-1.498,0,61.0731,-1.296733333,1,0
19,13,1981,0,-1.572,0,59.41,-1.296733333,1,0
19,14,1982,0,-1.581,0,61.0731,-1.296733333,1,0
19,15,1983,1,-1.307,-1.307,60.58,-1.296733333,1,0
20,1,5987,0,-0.48,0,62.51,0.242384615,0.538461538,0
20,2,5988,0,0.856,0,61.39,0.242384615,0.538461538,0
20,3,5989,0,1.211,0,62.51,0.242384615,0.538461538,0
20,4,5990,1,0.34,0.34,62.51,0.242384615,0.538461538,0
20,5,5991,1,-0.158,-0.158,60.04,0.242384615,0.538461538,0
20,6,5992,1,0.122,0.122,51,0.242384615,0.538461538,0
20,7,5993,1,0.885,0.885,50.42,0.242384615,0.538461538,0
20,8,5994,1,-0.963,-0.963,60.96,0.242384615,0.538461538,0
20,9,5995,0,0.601,0,62.51,0.242384615,0.538461538,0
20,10,5996,1,0.216,0.216,47.21,0.242384615,0.538461538,0
20,11,5997,1,-0.043,-0.043,62.5101,0.242384615,0.538461538,0
20,12,5998,1,-0.086,-0.086,62.5101,0.242384615,0.538461538,0
20,13,5999,1,0.65,0.65,64.98,0.242384615,0.538461538,0
21,1,5152,0,-0.111,0,62.3725,0.44865,1,0
21,2,5153,1,1.131,1.131,71.76,0.44865,1,0
21,3,5154,1,1.079,1.079,62.3725,0.44865,1,0
21,4,5155,1,-0.507,-0.507,29.66,0.44865,1,0
21,5,5156,1,0.747,0.747,71.91,0.44865,1,0
21,6,5157,0,0.499,0,49.4,0.44865,1,0
21,7,5158,1,1.32,1.32,62.3725,0.44865,1,0
21,8,5159,1,-0.016,-0.016,52.38,0.44865,1,0
21,9,5160,0,0.469,0,43.27,0.44865,1,0
21,10,5161,0,1.067,0,62.3725,0.44865,1,0
21,11,5162,0,0.499,0,62.3725,0.44865,1,0
21,12,5163,1,0.684,0.684,73.75,0.44865,1,0
21,13,5164,0,0.573,0,65.2,0.44865,1,0
21,14,5165,1,-0.486,-0.486,62.3725,0.44865,1,0
21,15,5166,1,0.099,0.099,62.3725,0.44865,1,0
21,16,5167,1,0.179,0.179,59.59,0.44865,1,0
21,17,5168,1,0.747,0.747,62.3725,0.44865,1,0
21,18,5169,0,-0.131,0,46.97,0.44865,1,0
21,19,5170,1,0.301,0.301,64.43,0.44865,1,0
21,20,5171,0,0.83,0,68.92,0.44865,1,0
22,1,2297,0,-0.509,0,46.17,-1.076916667,0.333333333,0
22,2,2298,0,-1.522,0,61.0836,-1.076916667,0.333333333,0
22,3,2299,1,-1.76,-1.76,47.26,-1.076916667,0.333333333,0
22,4,2300,1,-1.76,-1.76,61.0836,-1.076916667,0.333333333,0
22,5,2301,0,-0.716,0,58.68,-1.076916667,0.333333333,0
22,6,2302,0,-1.12,0,60,-1.076916667,0.333333333,0
22,7,2303,1,-1.427,-1.427,40.09,-1.076916667,0.333333333,0
22,8,2304,0,-1.477,0,50.28,-1.076916667,0.333333333,0
22,9,2305,1,-1.436,-1.436,58,-1.076916667,0.333333333,0
22,10,2306,1,-1.445,-1.445,61.0836,-1.076916667,0.333333333,0
22,11,2307,1,0.722,0.722,61.61,-1.076916667,0.333333333,0
22,12,2308,0,-0.473,0,61.0836,-1.076916667,0.333333333,0
23,1,4701,1,0.633,0.633,62.3199,0.532214286,1,0
23,2,6068,0,0.832,0,62.5159,0.532214286,1,0
23,3,6069,1,0.787,0.787,62.5159,0.532214286,1,0
23,4,6070,0,-0.544,0,50.55,0.532214286,1,0
23,5,6071,0,0.958,0,39.4,0.532214286,1,0
23,6,6072,0,-0.602,0,62.5159,0.532214286,1,0
23,7,6073,0,0.25,0,64.15,0.532214286,1,0
23,8,6074,1,0.904,0.904,59.31,0.532214286,1,0
23,9,6075,0,0.336,0,62.5159,0.532214286,1,0
23,10,6076,0,1.189,0,63.31,0.532214286,1,0
23,11,6077,0,0.862,0,62.5159,0.532214286,1,0
23,12,6078,1,1.157,1.157,64.04,0.532214286,1,0
23,13,6079,1,0.187,0.187,62.5159,0.532214286,1,0
23,14,6080,1,0.502,0.502,62.5159,0.532214286,1,0
24,1,87,1,-0.349,-0.349,43.33,-0.366933333,1,0
24,2,638,1,-0.191,-0.191,43.95,-0.366933333,1,0
24,3,639,0,-0.875,0,53.36,-0.366933333,1,0
24,4,640,0,0.119,0,60.5883,-0.366933333,1,0
24,5,641,1,-0.968,-0.968,60.5883,-0.366933333,1,0
24,6,642,0,-0.856,0,60.5883,-0.366933333,1,0
24,7,643,1,-0.999,-0.999,46.15,-0.366933333,1,0
24,8,644,0,0.613,0,60.5883,-0.366933333,1,0
24,9,645,1,-0.24,-0.24,60.5883,-0.366933333,1,0
24,10,646,1,1.691,1.691,71.33,-0.366933333,1,0
24,11,647,1,-0.85,-0.85,49.92,-0.366933333,1,0
24,12,648,1,-0.936,-0.936,72.94,-0.366933333,1,0
24,13,649,0,-0.521,0,60.5883,-0.366933333,1,0
24,14,650,1,-0.992,-0.992,68.06,-0.366933333,1,0
24,15,651,1,-0.15,-0.15,60.5883,-0.366933333,1,0
25,1,5856,1,-0.324,-0.324,45.56,-0.299105263,0.684210526,1
25,2,5857,0,0.079,0,62.5029,-0.299105263,0.684210526,1
25,3,5858,0,-0.536,0,62.5029,-0.299105263,0.684210526,1
25,4,5859,0,0.044,0,62.5029,-0.299105263,0.684210526,1
25,5,5860,1,-1.217,-1.217,35.82,-0.299105263,0.684210526,1
25,6,5861,1,-0.924,-0.924,62.5029,-0.299105263,0.684210526,1
25,7,5862,1,-0.123,-0.123,45.46,-0.299105263,0.684210526,1
25,8,5863,0,0,0,59.83,-0.299105263,0.684210526,1
25,9,5864,0,0.262,0,62.5029,-0.299105263,0.684210526,1
25,10,5865,0,-1.041,0,38.46,-0.299105263,0.684210526,1
25,11,5866,1,-0.401,-0.401,46.89,-0.299105263,0.684210526,1
25,12,5867,0,0.002,0,62.5029,-0.299105263,0.684210526,1
25,13,5868,0,-0.641,0,62.5029,-0.299105263,0.684210526,1
25,14,5869,0,0.004,0,62.5029,-0.299105263,0.684210526,1
25,15,5870,1,0.486,0.486,62.5029,-0.299105263,0.684210526,1
25,16,5871,1,-0.286,-0.286,35.33,-0.299105263,0.684210526,1
25,17,5872,1,0.077,0.077,62.5029,-0.299105263,0.684210526,1
25,18,5873,0,-1.434,0,62.5029,-0.299105263,0.684210526,1
25,19,6174,1,0.29,0.29,57.54,-0.299105263,0.684210526,1
26,1,4603,1,-0.693,-0.693,62.2778,-0.245555556,1,1
26,2,4604,0,-0.17,0,62.2778,-0.245555556,1,1
26,3,4605,0,-0.724,0,48.33,-0.245555556,1,1
26,4,4606,0,0.01,0,62.2778,-0.245555556,1,1
26,5,4607,0,0.603,0,69.48,-0.245555556,1,1
26,6,4608,0,-0.112,0,51.31,-0.245555556,1,1
26,7,4609,1,-0.927,-0.927,62.2778,-0.245555556,1,1
26,8,4610,1,-0.075,-0.075,62.2778,-0.245555556,1,1
26,9,4611,0,-0.542,0,62.2778,-0.245555556,1,1
26,10,4612,1,0.411,0.411,67.88,-0.245555556,1,1
26,11,4613,1,0.004,0.004,55.8,-0.245555556,1,1
26,12,4614,0,0.581,0,47.14,-0.245555556,1,1
26,13,4615,1,-0.377,-0.377,62.2778,-0.245555556,1,1
26,14,4616,0,-0.244,0,62.2778,-0.245555556,1,1
26,15,4617,0,-0.655,0,62.2778,-0.245555556,1,1
26,16,4618,0,-0.096,0,62.2778,-0.245555556,1,1
26,17,4619,0,-1.397,0,62.2778,-0.245555556,1,1
26,18,4620,1,-0.017,-0.017,75.09,-0.245555556,1,1
27,1,4584,1,-0.051,-0.051,50.65,-0.402473684,0.263157895,1
27,2,4585,1,0.101,0.101,50.24,-0.402473684,0.263157895,1
27,3,4586,1,-0.348,-0.348,62.2768,-0.402473684,0.263157895,1
27,4,4587,0,-0.591,0,62.2768,-0.402473684,0.263157895,1
27,5,4588,0,0.538,0,42.27,-0.402473684,0.263157895,1
27,6,4589,0,-0.148,0,62.2768,-0.402473684,0.263157895,1
27,7,4590,0,-0.646,0,75.98,-0.402473684,0.263157895,1
27,8,4591,0,-0.873,0,67.11,-0.402473684,0.263157895,1
27,9,4592,0,-1.685,0,40.98,-0.402473684,0.263157895,1
